feature,mean_abs_shap_value
qty_rolling_mean_7,0.5216707724715852
qty_rolling_mean_14,0.14396770303629847
day_of_week,0.12101391745038019
qty_lag_1,0.09716998469974134
qty_rolling_mean_3,0.09467784810325088
moq_order,0.070803225524268
sku_expanding_median_qty,0.06411996840153661
sku_expanding_mean_qty,0.055592275396745015
qty_lag_2,0.04138751292291196
qty_rolling_min_7,0.036730180487261524
day,0.02120965304987989
qty_rolling_min_14,0.020863435303388342
qty_rolling_std_7,0.020342144110138724
qty_rolling_min_3,0.017234084486777167
week_of_year,0.01398316310813575
qty_lag_14,0.01294304156287615
qty_rolling_std_14,0.01272627565781503
qty_rolling_max_14,0.012211827398410013
qty_rolling_std_3,0.010850351632939343
qty_lag_7,0.010419293380646918
qty_lag_3,0.008487137790457032
sku_expanding_std_qty,0.008291761071983613
sku_encoded,0.007059328401814517
month,0.006973898727782145
qty_rolling_max_7,0.00633495107957521
qty_rolling_max_3,0.006252702978382667
is_weekend,0.0026654557826588043
quarter,0.00040593358955499367
year,0.0
